"","B","SE","p","Comp","Variable","Approach"
"29",0.493205971435617,0.00657170976053934,0,4,"rk_CGL","DKI"
"30",0.261683021842572,0.00701584441768191,2.07612051896669e-298,5,"rk_CGL","DKI"
"31",-0.480562969911906,0.00425319021972589,0,1,"rk_CG_hippocampusL","DKI"
"32",0.620898817192847,0.00557027229001069,0,2,"rk_CG_hippocampusL","DKI"
"33",-0.444427709789734,0.00569322412243023,0,3,"rk_CG_hippocampusL","DKI"
"34",-0.170694269705213,0.00668439234134478,1.78041006659181e-142,4,"rk_CG_hippocampusL","DKI"
"35",-0.343547227864809,0.00654239372233418,0,5,"rk_CG_hippocampusL","DKI"
"36",-0.649011257240469,0.00373411578027658,0,1,"rk_CG_hippocampusR","DKI"
"37",0.48868878900852,0.00616026285028319,0,2,"rk_CG_hippocampusR","DKI"
"38",-0.557737685316142,0.00559911131447224,0,3,"rk_CG_hippocampusR","DKI"
"39",-0.0155464345198073,0.00694896079832468,0.025277725843703,4,"rk_CG_hippocampusR","DKI"
"40",-0.148025028784057,0.00696077772995966,1.07255298054274e-99,5,"rk_CG_hippocampusR","DKI"
"41",-0.786859461676428,0.00303730188424763,0,1,"rk_FMIN","DKI"
"42",0.0459905892615538,0.00685242492147734,1.95579598578053e-11,2,"rk_FMIN","DKI"
"43",-0.26972818368966,0.00634110328540905,0,3,"rk_FMIN","DKI"
"44",0.431838509060522,0.00669888680052778,0,4,"rk_FMIN","DKI"
"45",0.252092878380086,0.00702637988049017,1.1131545759873e-276,5,"rk_FMIN","DKI"
"46",-0.668179963502791,0.00302780584603575,0,1,"rk_FMAJ","DKI"
"47",0.138186106991507,0.00613354255115734,1.4263141965391e-111,2,"rk_FMAJ","DKI"
"48",-0.553004520342212,0.0050327951086219,0,3,"rk_FMAJ","DKI"
"49",0.109717227902722,0.00637085762909763,3.50775746659233e-66,4,"rk_FMAJ","DKI"
"50",0.127458921236356,0.00641466217494147,2.35038404605972e-87,5,"rk_FMAJ","DKI"
"51",-0.936659721744771,0.00267777232699341,0,1,"rk_IFOFL","DKI"
"52",0.303929470537671,0.00733711764698615,0,2,"rk_IFOFL","DKI"
"53",-0.505446362134214,0.00658754969178604,0,3,"rk_IFOFL","DKI"
"54",0.189457022180288,0.00771989630248079,7.72262739984235e-132,4,"rk_IFOFL","DKI"
"55",0.0508660718723329,0.00784863270033432,9.2445684745956e-11,5,"rk_IFOFL","DKI"
"56",-0.898660380978541,0.00220061324637796,0,1,"rk_IFOFR","DKI"
"57",0.137602868219137,0.00696594492360067,2.30469374060636e-86,2,"rk_IFOFR","DKI"
"58",-0.535529654095863,0.00597627443356721,0,3,"rk_IFOFR","DKI"
"59",0.261483513342817,0.00711343111412033,4.60698884562776e-290,4,"rk_IFOFR","DKI"
"60",0.188510302821929,0.0072427092087543,7.03586984093777e-148,5,"rk_IFOFR","DKI"
"61",-0.8217956530921,0.00260939263064999,0,1,"rk_ILFL","DKI"
"62",0.325937595480331,0.0065261989467199,0,2,"rk_ILFL","DKI"
"63",-0.603017152482488,0.0055157683738316,0,3,"rk_ILFL","DKI"
"64",0.109048780401789,0.00697834541757205,7.46442399336153e-55,4,"rk_ILFL","DKI"
"65",-0.0751811272651066,0.00705005590145779,1.65533587981101e-26,5,"rk_ILFL","DKI"
"66",-0.798988296125974,0.00242138283331973,0,1,"rk_ILFR","DKI"
"67",0.252139942248869,0.00635441446761527,0,2,"rk_ILFR","DKI"
"68",-0.590937442040417,0.00526462340065694,0,3,"rk_ILFR","DKI"
"69",0.232084179645353,0.00661207257827567,4.11402011936695e-265,4,"rk_ILFR","DKI"
"70",0.0432771346911016,0.00678395025751404,1.80157799009907e-10,5,"rk_ILFR","DKI"
"71",-0.889297738767945,0.0021840040504972,0,1,"rk_SLFL","DKI"
"72",0.13568086905054,0.00689705876046724,1.13004086488415e-85,2,"rk_SLFL","DKI"
"73",-0.532619311678755,0.0059104624973858,0,3,"rk_SLFL","DKI"
"74",0.151392256553232,0.00713514850256772,2.92593964775833e-99,4,"rk_SLFL","DKI"
